id,age,sexe,profession
78,60,Homme,Ingénieur
79,71,Femme,Informaticien
80,20,Femme,Retraité
81,29,Femme,Avocat
82,19,Femme,Ingénieur
83,62,Homme,Médecin
84,71,Homme,Agriculteur
85,75,Homme,Informaticien
86,23,Homme,Étudiant
87,60,Femme,Commerçant
88,73,Homme,Agriculteur
89,34,Homme,Retraité
90,49,Homme,Ingénieur
91,65,Homme,Avocat
92,19,Femme,Artisan
93,19,Homme,Enseignant
94,49,Homme,Agriculteur
95,51,Femme,Commerçant
96,79,Femme,Médecin
97,29,Femme,Retraité
98,54,Femme,Artisan
99,55,Femme,Retraité
100,47,Homme,Artisan
101,79,Homme,Étudiant
102,40,Homme,Agriculteur
103,57,Femme,Agriculteur
104,58,Homme,Agriculteur
105,65,Homme,Avocat
106,56,Femme,Enseignant
107,65,Homme,Agriculteur
108,18,Homme,Artisan
109,77,Homme,Étudiant
110,55,Homme,Ingénieur
111,29,Homme,Commerçant
112,75,Femme,Agriculteur
113,20,Femme,Étudiant
114,78,Femme,Médecin
115,35,Homme,Informaticien
116,65,Femme,Enseignant
117,22,Femme,Commerçant
118,73,Femme,Ingénieur
119,62,Homme,Agriculteur
120,30,Homme,Médecin
121,80,Homme,Retraité
122,42,Femme,Informaticien
123,19,Homme,Artisan
124,21,Femme,Retraité
125,20,Homme,Artisan
126,60,Femme,Agriculteur
127,19,Femme,Commerçant
128,67,Homme,Retraité
129,61,Homme,Étudiant
130,70,Homme,Avocat
131,70,Femme,Avocat
132,64,Femme,Artisan
133,33,Homme,Ingénieur
134,54,Femme,Médecin
135,78,Femme,Retraité
136,51,Homme,Retraité
137,33,Femme,Agriculteur
138,80,Femme,Artisan
139,30,Femme,Enseignant
140,51,Femme,Enseignant
141,39,Femme,Étudiant
142,27,Homme,Médecin
143,38,Femme,Informaticien
144,41,Femme,Agriculteur
145,28,Homme,Agriculteur
146,74,Femme,Enseignant
147,70,Femme,Avocat
148,56,Homme,Avocat
149,44,Femme,Commerçant
150,75,Femme,Ingénieur
151,45,Femme,Avocat
152,49,Homme,Médecin
153,31,Homme,Étudiant
154,23,Homme,Avocat
155,70,Homme,Informaticien
156,60,Femme,Enseignant
157,61,Homme,Étudiant
158,29,Homme,Enseignant
159,27,Femme,Médecin
160,36,Homme,Artisan
161,58,Homme,Agriculteur
162,24,Homme,Enseignant
163,65,Homme,Médecin
164,76,Femme,Avocat
165,72,Homme,Ingénieur
166,34,Homme,Étudiant
167,40,Femme,Ingénieur
168,72,Homme,Étudiant
169,35,Femme,Retraité
170,55,Femme,Agriculteur
171,79,Femme,Agriculteur
172,31,Homme,Artisan
173,72,Homme,Médecin
174,65,Homme,Médecin
175,19,Femme,Retraité
176,58,Homme,Informaticien
177,61,Femme,Ingénieur
178,28,Femme,Étudiant
179,54,Homme,Enseignant
180,77,Femme,Avocat
181,38,Femme,Agriculteur
182,38,Femme,Retraité
183,53,Homme,Agriculteur
184,45,Homme,Enseignant
185,72,Femme,Étudiant
186,70,Homme,Commerçant
187,45,Femme,Ingénieur
188,65,Homme,Avocat
189,30,Femme,Commerçant
190,64,Femme,Artisan
191,46,Homme,Enseignant
192,54,Femme,Avocat
193,60,Homme,Médecin
194,55,Homme,Étudiant
195,35,Homme,Enseignant
196,52,Femme,Médecin
197,62,Homme,Étudiant
198,48,Femme,Artisan
199,59,Homme,Étudiant
200,45,Femme,Ingénieur
201,18,Homme,Informaticien
202,68,Femme,Retraité
203,41,Femme,Étudiant
204,60,Femme,Ingénieur
205,50,Femme,Artisan
206,37,Femme,Agriculteur
207,60,Homme,Commerçant
208,18,Homme,Commerçant
209,58,Homme,Médecin
210,71,Homme,Informaticien
211,37,Homme,Enseignant
212,45,Homme,Informaticien
213,76,Homme,Ingénieur
214,54,Femme,Médecin
215,27,Femme,Artisan
216,51,Femme,Retraité
217,56,Femme,Étudiant
218,64,Femme,Avocat
219,40,Femme,Étudiant
220,62,Homme,Informaticien
221,72,Femme,Retraité
222,61,Homme,Informaticien
223,30,Homme,Ingénieur
224,69,Femme,Agriculteur
225,78,Homme,Ingénieur
226,28,Femme,Informaticien
227,33,Homme,Avocat
228,55,Femme,Étudiant
229,18,Homme,Agriculteur
230,36,Femme,Agriculteur
231,51,Homme,Ingénieur
232,28,Homme,Enseignant
233,59,Homme,Retraité
234,46,Femme,Médecin
235,47,Homme,Médecin
236,44,Femme,Avocat
237,73,Femme,Étudiant
238,22,Femme,Étudiant
239,59,Homme,Avocat
240,52,Femme,Retraité
241,31,Femme,Étudiant
242,19,Femme,Médecin
243,59,Femme,Informaticien
244,47,Femme,Agriculteur
245,51,Femme,Étudiant
246,80,Femme,Agriculteur
247,75,Homme,Enseignant
248,56,Homme,Artisan
249,69,Femme,Enseignant
250,65,Femme,Artisan
251,57,Homme,Agriculteur
252,74,Femme,Avocat
253,57,Femme,Médecin
254,67,Femme,Ingénieur
255,63,Femme,Retraité
256,60,Homme,Agriculteur
257,54,Homme,Artisan
258,30,Femme,Avocat
259,59,Femme,Avocat
260,23,Homme,Médecin
261,68,Femme,Agriculteur
262,36,Femme,Retraité
263,55,Femme,Ingénieur
264,44,Femme,Artisan
265,34,Femme,Retraité
266,50,Homme,Informaticien
267,29,Homme,Médecin
268,36,Femme,Étudiant
269,73,Homme,Agriculteur
270,65,Femme,Médecin
271,30,Femme,Artisan
272,45,Homme,Ingénieur
273,21,Femme,Informaticien
274,60,Femme,Avocat
275,46,Homme,Ingénieur
276,63,Femme,Enseignant
277,42,Homme,Commerçant
278,73,Homme,Agriculteur
279,65,Femme,Enseignant
280,47,Femme,Retraité
281,59,Homme,Étudiant
282,30,Femme,Avocat
283,62,Homme,Avocat
284,42,Homme,Informaticien
285,67,Homme,Enseignant
286,23,Femme,Informaticien
287,20,Femme,Médecin
288,18,Homme,Retraité
289,34,Femme,Enseignant
290,28,Femme,Ingénieur
291,39,Femme,Informaticien
292,24,Homme,Retraité
293,63,Homme,Artisan
294,31,Homme,Commerçant
295,77,Femme,Étudiant
296,41,Homme,Avocat
297,71,Femme,Avocat
298,64,Femme,Retraité
299,27,Femme,Informaticien
300,48,Femme,Commerçant
301,39,Homme,Artisan
302,42,Femme,Ingénieur
303,49,Femme,Avocat
304,37,Femme,Agriculteur
305,34,Homme,Informaticien
306,75,Homme,Commerçant
307,55,Homme,Avocat
308,47,Homme,Artisan
309,53,Femme,Informaticien
310,54,Homme,Retraité
311,45,Femme,Informaticien
312,37,Femme,Agriculteur
313,79,Homme,Informaticien
314,20,Homme,Retraité
315,40,Femme,Étudiant
316,66,Homme,Artisan
317,38,Femme,Ingénieur
318,75,Homme,Artisan
319,70,Femme,Commerçant
320,51,Femme,Étudiant
321,18,Femme,Enseignant
322,34,Homme,Commerçant
323,27,Femme,Avocat
324,51,Homme,Étudiant
325,48,Homme,Médecin
326,68,Femme,Agriculteur
327,40,Femme,Retraité
328,31,Femme,Étudiant
329,56,Femme,Enseignant
330,46,Homme,Étudiant
331,72,Homme,Retraité
332,64,Homme,Informaticien
333,75,Femme,Étudiant
334,60,Homme,Ingénieur
335,60,Homme,Agriculteur
336,27,Femme,Commerçant
337,75,Femme,Médecin
338,65,Homme,Médecin
339,47,Homme,Ingénieur
340,70,Femme,Informaticien
341,60,Homme,Avocat
342,29,Femme,Informaticien
343,47,Femme,Médecin
344,34,Femme,Étudiant
345,55,Homme,Étudiant
346,33,Homme,Avocat
347,73,Femme,Commerçant
348,63,Femme,Avocat
349,69,Femme,Ingénieur
350,21,Homme,Enseignant
351,71,Femme,Artisan
352,21,Femme,Commerçant
353,29,Homme,Informaticien
354,69,Homme,Commerçant
355,36,Femme,Retraité
356,51,Femme,Retraité
357,19,Femme,Avocat
358,49,Femme,Étudiant
359,41,Femme,Agriculteur
360,23,Femme,Médecin
361,77,Femme,Ingénieur
362,49,Femme,Informaticien
363,49,Femme,Médecin
364,21,Homme,Ingénieur
365,74,Femme,Étudiant
366,77,Femme,Retraité
367,21,Homme,Médecin
368,73,Femme,Enseignant
369,38,Homme,Informaticien
370,36,Femme,Médecin
371,33,Femme,Ingénieur
372,69,Femme,Artisan
373,29,Femme,Ingénieur
374,18,Femme,Médecin
375,19,Femme,Informaticien
376,80,Homme,Ingénieur
377,42,Femme,Avocat
378,69,Homme,Commerçant
379,67,Homme,Étudiant
380,32,Homme,Étudiant
381,38,Femme,Retraité
382,61,Homme,Commerçant
383,64,Homme,Retraité
384,31,Femme,Artisan
385,26,Femme,Retraité
386,43,Homme,Informaticien
387,48,Homme,Agriculteur
388,41,Homme,Avocat
389,28,Homme,Retraité
390,67,Femme,Avocat
391,33,Femme,Avocat
392,49,Femme,Avocat
393,32,Femme,Informaticien
394,33,Homme,Étudiant
395,80,Femme,Retraité
396,30,Femme,Enseignant
397,38,Homme,Enseignant
398,52,Femme,Commerçant
399,39,Femme,Médecin
400,78,Femme,Informaticien
401,37,Homme,Avocat
402,69,Homme,Médecin
403,20,Femme,Avocat
404,63,Homme,Ingénieur
405,75,Homme,Enseignant
406,51,Homme,Ingénieur
407,61,Femme,Enseignant
408,73,Homme,Informaticien
409,21,Homme,Retraité
410,48,Homme,Commerçant
411,77,Femme,Avocat
412,37,Femme,Avocat
413,44,Femme,Commerçant
414,80,Femme,Enseignant
415,35,Femme,Étudiant
416,22,Homme,Informaticien
417,37,Femme,Commerçant
418,63,Femme,Artisan
419,54,Homme,Informaticien
420,27,Homme,Artisan
421,26,Femme,Commerçant
422,78,Homme,Médecin
423,51,Femme,Informaticien
424,40,Femme,Médecin
425,48,Homme,Retraité
426,74,Femme,Commerçant
427,52,Homme,Ingénieur
428,41,Femme,Commerçant
429,63,Femme,Enseignant
430,21,Femme,Avocat
431,48,Homme,Enseignant
432,79,Femme,Enseignant
433,33,Femme,Enseignant
434,50,Femme,Artisan
435,74,Femme,Enseignant
436,50,Homme,Étudiant
437,45,Femme,Retraité
438,56,Homme,Retraité
439,51,Homme,Artisan
440,29,Homme,Avocat
441,63,Femme,Retraité
442,64,Femme,Informaticien
443,75,Homme,Enseignant
444,41,Femme,Médecin
445,75,Homme,Ingénieur
446,41,Femme,Artisan
447,62,Homme,Avocat
448,79,Homme,Avocat
449,75,Homme,Commerçant
450,28,Femme,Enseignant
451,44,Homme,Ingénieur
452,52,Femme,Informaticien
453,56,Homme,Retraité
454,35,Femme,Commerçant
455,26,Femme,Avocat
456,34,Femme,Informaticien
457,76,Femme,Avocat
458,58,Homme,Commerçant
459,67,Femme,Avocat
460,76,Homme,Avocat
461,31,Femme,Étudiant
462,75,Homme,Artisan
463,52,Homme,Médecin
464,51,Homme,Enseignant
465,37,Femme,Médecin
466,74,Femme,Retraité
467,63,Femme,Médecin
468,78,Femme,Ingénieur
469,45,Femme,Agriculteur
470,76,Homme,Agriculteur
471,67,Femme,Enseignant
472,71,Femme,Artisan
473,31,Homme,Ingénieur
474,69,Homme,Artisan
475,27,Homme,Médecin
476,42,Femme,Agriculteur
477,53,Femme,Médecin
478,32,Homme,Agriculteur
479,31,Homme,Artisan
480,47,Femme,Retraité
481,68,Homme,Médecin
482,65,Homme,Informaticien
483,31,Homme,Avocat
484,59,Homme,Ingénieur
485,48,Femme,Retraité
486,44,Femme,Étudiant
487,34,Femme,Étudiant
488,76,Homme,Médecin
489,27,Homme,Ingénieur
490,65,Femme,Enseignant
491,62,Homme,Informaticien
492,26,Femme,Avocat
493,72,Homme,Agriculteur
494,68,Homme,Médecin
495,53,Homme,Médecin
496,23,Femme,Informaticien
497,23,Femme,Commerçant
498,57,Homme,Avocat
499,18,Femme,Enseignant
500,60,Femme,Informaticien
501,38,Homme,Informaticien
502,61,Femme,Agriculteur
503,38,Homme,Ingénieur
504,55,Homme,Retraité
505,28,Femme,Avocat
506,51,Femme,Médecin
507,52,Femme,Étudiant
508,30,Femme,Retraité
509,77,Homme,Médecin
510,36,Femme,Commerçant
511,63,Femme,Retraité
512,30,Femme,Artisan
513,67,Homme,Commerçant
514,51,Femme,Commerçant
515,66,Homme,Médecin
516,37,Homme,Ingénieur
517,62,Homme,Médecin
518,72,Femme,Avocat
519,35,Femme,Artisan
520,67,Homme,Agriculteur
521,52,Homme,Enseignant
522,63,Homme,Artisan
523,74,Femme,Informaticien
524,38,Femme,Ingénieur
525,63,Homme,Informaticien
526,46,Femme,Médecin
527,52,Femme,Commerçant
528,53,Homme,Étudiant
529,24,Femme,Retraité
530,30,Femme,Agriculteur
531,62,Femme,Enseignant
532,48,Femme,Artisan
533,64,Femme,Avocat
534,36,Femme,Retraité
535,80,Femme,Agriculteur
536,70,Homme,Étudiant
537,49,Femme,Avocat
538,35,Femme,Retraité
539,77,Homme,Étudiant
540,68,Femme,Enseignant
541,79,Femme,Informaticien
542,58,Homme,Étudiant
543,21,Homme,Enseignant
544,55,Femme,Avocat
545,44,Femme,Commerçant
546,42,Homme,Étudiant
547,56,Homme,Informaticien
548,80,Femme,Étudiant
549,45,Homme,Commerçant
550,62,Homme,Avocat
551,77,Femme,Agriculteur
552,43,Homme,Agriculteur
553,56,Femme,Retraité
554,27,Femme,Médecin
555,39,Femme,Enseignant
556,41,Homme,Avocat
557,45,Femme,Commerçant
558,36,Homme,Enseignant
559,70,Homme,Avocat
560,70,Femme,Enseignant
561,38,Femme,Médecin
562,53,Femme,Informaticien
563,47,Homme,Étudiant
564,63,Homme,Artisan
565,54,Homme,Artisan
566,76,Femme,Agriculteur
567,71,Homme,Enseignant
568,26,Homme,Avocat
569,44,Femme,Enseignant
570,47,Homme,Médecin
571,22,Femme,Étudiant
572,61,Femme,Enseignant
573,23,Femme,Artisan
574,34,Femme,Retraité
575,30,Femme,Étudiant
576,70,Homme,Médecin
577,31,Femme,Ingénieur
578,63,Homme,Agriculteur
579,22,Femme,Avocat
580,51,Homme,Ingénieur
581,27,Femme,Artisan
582,43,Femme,Avocat
583,23,Femme,Commerçant
584,58,Femme,Informaticien
585,24,Femme,Artisan
586,69,Femme,Informaticien
587,38,Femme,Enseignant
588,48,Homme,Commerçant
589,43,Femme,Enseignant
590,59,Femme,Ingénieur
591,43,Homme,Artisan
592,45,Femme,Informaticien
593,38,Homme,Commerçant
594,37,Femme,Commerçant
595,74,Homme,Ingénieur
596,21,Homme,Avocat
597,60,Femme,Agriculteur
598,61,Femme,Ingénieur
599,58,Femme,Artisan
600,22,Homme,Ingénieur
601,57,Homme,Avocat
602,46,Femme,Ingénieur
603,34,Femme,Ingénieur
604,74,Femme,Artisan
605,59,Femme,Avocat
606,43,Homme,Informaticien
607,19,Homme,Avocat
608,73,Homme,Étudiant
609,68,Homme,Agriculteur
610,20,Femme,Artisan
611,56,Homme,Retraité
612,55,Homme,Étudiant
613,22,Homme,Médecin
614,21,Femme,Agriculteur
615,55,Femme,Enseignant
616,22,Homme,Agriculteur
617,49,Homme,Retraité
618,71,Femme,Artisan
619,60,Homme,Enseignant
620,74,Homme,Informaticien
621,72,Femme,Retraité
622,25,Femme,Médecin
623,33,Homme,Enseignant
624,79,Homme,Commerçant
625,28,Femme,Agriculteur
626,71,Homme,Commerçant
627,77,Femme,Agriculteur
628,32,Homme,Avocat
629,41,Femme,Étudiant
630,34,Homme,Ingénieur
631,65,Femme,Artisan
632,79,Femme,Enseignant
633,75,Homme,Commerçant
634,27,Homme,Ingénieur
635,24,Homme,Étudiant
636,23,Femme,Retraité
637,75,Homme,Médecin
638,75,Homme,Avocat
639,19,Femme,Enseignant
640,25,Femme,Agriculteur
641,24,Femme,Médecin
642,24,Femme,Informaticien
643,53,Femme,Commerçant
644,72,Homme,Médecin
645,53,Homme,Ingénieur
646,58,Femme,Avocat
647,22,Homme,Ingénieur
648,68,Femme,Commerçant
649,23,Homme,Enseignant
650,38,Homme,Médecin
651,78,Homme,Agriculteur
652,25,Femme,Retraité
653,79,Femme,Agriculteur
654,41,Femme,Ingénieur
655,80,Femme,Médecin
656,24,Homme,Retraité
657,52,Femme,Agriculteur
658,73,Femme,Informaticien
659,73,Homme,Avocat
660,67,Homme,Commerçant
661,24,Homme,Étudiant
662,45,Femme,Commerçant
663,56,Femme,Étudiant
664,63,Femme,Ingénieur
665,35,Femme,Artisan
666,41,Femme,Étudiant
667,68,Femme,Médecin
668,27,Femme,Retraité
669,47,Homme,Avocat
670,50,Homme,Informaticien
671,19,Homme,Avocat
672,23,Homme,Médecin
673,39,Homme,Avocat
674,55,Femme,Retraité
675,41,Homme,Étudiant
676,60,Femme,Enseignant
677,45,Homme,Avocat
678,50,Femme,Retraité
679,78,Femme,Agriculteur
680,77,Femme,Artisan
681,61,Femme,Artisan
682,36,Femme,Informaticien
683,69,Femme,Artisan
684,39,Homme,Commerçant
685,47,Homme,Agriculteur
686,49,Homme,Commerçant
687,46,Femme,Agriculteur
688,67,Homme,Retraité
689,44,Femme,Enseignant
690,53,Femme,Artisan
691,59,Homme,Retraité
692,30,Femme,Enseignant
693,37,Femme,Enseignant
694,79,Homme,Retraité
695,19,Femme,Informaticien
696,55,Femme,Retraité
697,69,Femme,Enseignant
698,63,Femme,Retraité
699,27,Homme,Retraité
700,55,Homme,Commerçant
701,26,Femme,Retraité
702,50,Femme,Médecin
703,59,Homme,Ingénieur
704,55,Femme,Étudiant
705,36,Homme,Étudiant
706,74,Femme,Enseignant
707,76,Homme,Médecin
708,75,Femme,Étudiant
709,43,Homme,Avocat
710,73,Homme,Étudiant
711,59,Femme,Agriculteur
712,67,Femme,Artisan
713,53,Femme,Retraité
714,69,Homme,Avocat
715,78,Femme,Avocat
716,28,Femme,Avocat
717,51,Femme,Informaticien
718,70,Homme,Enseignant
719,41,Femme,Médecin
720,30,Homme,Agriculteur
721,46,Homme,Informaticien
722,20,Femme,Informaticien
723,39,Femme,Ingénieur
724,22,Homme,Ingénieur
725,59,Homme,Commerçant
726,70,Femme,Médecin
727,65,Femme,Informaticien
728,40,Femme,Agriculteur
729,64,Homme,Médecin
730,31,Homme,Enseignant
731,62,Femme,Avocat
732,45,Femme,Médecin
733,71,Femme,Ingénieur
734,76,Homme,Avocat
735,20,Femme,Agriculteur
736,63,Femme,Retraité
737,24,Femme,Informaticien
738,38,Homme,Ingénieur
739,25,Homme,Étudiant
740,65,Femme,Étudiant
741,18,Femme,Artisan
742,45,Femme,Agriculteur
743,73,Femme,Médecin
744,39,Femme,Ingénieur
745,47,Homme,Avocat
746,33,Homme,Agriculteur
747,46,Homme,Étudiant
748,42,Homme,Enseignant
749,54,Homme,Retraité
750,19,Homme,Avocat
751,42,Homme,Commerçant
752,61,Femme,Artisan
753,80,Femme,Ingénieur
754,23,Homme,Ingénieur
755,49,Homme,Informaticien
756,68,Femme,Retraité
757,68,Femme,Médecin
758,67,Homme,Ingénieur
759,56,Femme,Étudiant
760,29,Homme,Étudiant
761,64,Homme,Ingénieur
762,34,Femme,Avocat
763,43,Homme,Enseignant
764,76,Homme,Retraité
765,52,Homme,Commerçant
766,74,Femme,Médecin
767,79,Femme,Artisan
768,21,Homme,Médecin
769,26,Homme,Ingénieur
770,45,Homme,Agriculteur
771,60,Femme,Commerçant
772,67,Homme,Médecin
773,22,Femme,Commerçant
774,22,Femme,Étudiant
775,75,Femme,Commerçant
776,72,Femme,Médecin
777,36,Homme,Ingénieur
778,76,Homme,Étudiant
779,59,Homme,Commerçant
780,78,Homme,Commerçant
781,55,Femme,Retraité
782,73,Femme,Étudiant
783,55,Homme,Avocat
784,21,Homme,Avocat
785,32,Femme,Médecin
786,18,Femme,Étudiant
787,32,Homme,Avocat
788,72,Homme,Enseignant
789,75,Femme,Étudiant
790,33,Homme,Avocat
791,72,Homme,Commerçant
792,40,Femme,Commerçant
793,78,Femme,Enseignant
794,78,Femme,Étudiant
795,52,Homme,Avocat
796,46,Femme,Artisan
797,62,Homme,Avocat
798,59,Homme,Ingénieur
799,23,Homme,Agriculteur
800,49,Homme,Ingénieur
801,18,Femme,Retraité
802,38,Homme,Étudiant
803,35,Homme,Retraité
804,62,Homme,Artisan
805,76,Femme,Retraité
806,54,Homme,Informaticien
807,41,Femme,Retraité
808,76,Homme,Avocat
809,27,Homme,Informaticien
810,79,Femme,Artisan
811,24,Homme,Enseignant
812,65,Homme,Enseignant
813,64,Femme,Agriculteur
814,47,Femme,Commerçant
815,75,Femme,Ingénieur
816,37,Homme,Retraité
817,39,Homme,Médecin
818,37,Homme,Avocat
819,18,Homme,Retraité
820,44,Homme,Ingénieur
821,59,Homme,Avocat
822,65,Femme,Artisan
823,73,Homme,Retraité
824,80,Homme,Ingénieur
825,20,Homme,Enseignant
826,48,Homme,Étudiant
827,59,Femme,Artisan
828,80,Homme,Informaticien
829,68,Femme,Médecin
830,51,Femme,Enseignant
831,72,Femme,Étudiant
832,22,Femme,Avocat
833,48,Femme,Commerçant
834,30,Homme,Enseignant
835,41,Homme,Médecin
836,25,Homme,Ingénieur
837,61,Homme,Étudiant
838,26,Femme,Enseignant
839,23,Femme,Étudiant
840,37,Femme,Ingénieur
841,73,Femme,Artisan
842,31,Homme,Commerçant
843,36,Homme,Retraité
844,41,Femme,Commerçant
845,75,Homme,Ingénieur
846,41,Femme,Commerçant
847,35,Femme,Commerçant
848,31,Femme,Agriculteur
849,20,Homme,Médecin
850,34,Homme,Informaticien
851,76,Femme,Ingénieur
852,65,Femme,Agriculteur
853,24,Homme,Étudiant
854,45,Homme,Médecin
855,37,Femme,Commerçant
856,63,Homme,Avocat
857,57,Homme,Enseignant
858,72,Femme,Retraité
859,24,Femme,Informaticien
860,30,Homme,Médecin
861,74,Femme,Agriculteur
862,70,Femme,Étudiant
863,77,Homme,Artisan
864,62,Femme,Retraité
865,60,Femme,Étudiant
866,19,Femme,Retraité
867,78,Femme,Informaticien
868,74,Femme,Ingénieur
869,52,Femme,Artisan
870,53,Femme,Artisan
871,77,Femme,Ingénieur
872,76,Femme,Artisan
873,35,Homme,Commerçant
874,19,Homme,Artisan
875,21,Homme,Enseignant
876,36,Homme,Avocat
877,71,Femme,Étudiant
878,47,Homme,Avocat
879,30,Femme,Agriculteur
880,56,Femme,Informaticien
881,67,Femme,Agriculteur
882,37,Femme,Avocat
883,71,Homme,Informaticien
884,24,Femme,Informaticien
885,70,Femme,Retraité
886,47,Homme,Médecin
887,65,Homme,Retraité
888,25,Homme,Médecin
889,72,Femme,Informaticien
890,18,Homme,Commerçant
891,52,Homme,Artisan
892,35,Homme,Commerçant
893,27,Homme,Médecin
894,25,Femme,Médecin
895,61,Femme,Étudiant
896,42,Homme,Médecin
897,78,Homme,Avocat
898,50,Homme,Enseignant
899,73,Homme,Commerçant
900,54,Homme,Artisan
901,43,Femme,Ingénieur
902,80,Femme,Informaticien
903,68,Femme,Enseignant
904,52,Homme,Ingénieur
905,60,Femme,Médecin
906,76,Femme,Ingénieur
907,37,Femme,Commerçant
908,39,Homme,Artisan
909,59,Homme,Ingénieur
910,43,Homme,Enseignant
911,57,Femme,Informaticien
912,69,Femme,Ingénieur
913,18,Femme,Ingénieur
914,79,Femme,Avocat
915,35,Femme,Enseignant
916,57,Femme,Retraité
917,38,Femme,Retraité
918,28,Homme,Retraité
919,30,Femme,Commerçant
920,70,Femme,Avocat
921,78,Femme,Avocat
922,74,Femme,Artisan
923,19,Homme,Commerçant
924,37,Femme,Ingénieur
925,28,Femme,Ingénieur
926,67,Homme,Commerçant
927,46,Homme,Agriculteur
928,75,Homme,Artisan
929,48,Homme,Informaticien
930,48,Femme,Médecin
931,72,Femme,Enseignant
932,40,Femme,Agriculteur
933,21,Homme,Informaticien
934,75,Homme,Enseignant
935,53,Femme,Agriculteur
936,80,Homme,Ingénieur
937,31,Homme,Agriculteur
938,56,Homme,Artisan
939,42,Femme,Agriculteur
940,64,Femme,Ingénieur
941,26,Homme,Retraité
942,65,Homme,Ingénieur
943,31,Homme,Agriculteur
944,30,Homme,Enseignant
945,45,Homme,Étudiant
946,78,Femme,Commerçant
947,35,Femme,Ingénieur
948,42,Femme,Avocat
949,18,Femme,Retraité
950,57,Homme,Agriculteur
951,51,Femme,Informaticien
952,32,Homme,Ingénieur
953,70,Femme,Informaticien
954,25,Homme,Artisan
955,71,Homme,Commerçant
956,26,Femme,Agriculteur
957,41,Homme,Artisan
958,24,Homme,Ingénieur
959,26,Femme,Étudiant
960,34,Femme,Informaticien
961,60,Homme,Ingénieur
962,47,Femme,Artisan
963,24,Femme,Informaticien
964,71,Femme,Informaticien
965,51,Femme,Enseignant
966,35,Femme,Étudiant
967,71,Homme,Enseignant
968,37,Femme,Avocat
969,28,Femme,Avocat
970,69,Homme,Enseignant
971,36,Femme,Agriculteur
972,45,Homme,Avocat
973,44,Femme,Étudiant
974,65,Femme,Étudiant
975,58,Femme,Médecin
976,59,Femme,Agriculteur
977,33,Homme,Médecin
978,48,Femme,Étudiant
979,48,Homme,Avocat
980,28,Femme,Enseignant
981,44,Homme,Agriculteur
982,26,Homme,Enseignant
983,52,Homme,Avocat
984,47,Femme,Retraité
985,61,Femme,Informaticien
986,63,Femme,Avocat
987,51,Femme,Informaticien
988,53,Femme,Avocat
989,38,Homme,Ingénieur
990,68,Homme,Artisan
991,35,Femme,Médecin
992,40,Femme,Artisan
993,37,Femme,Médecin
994,69,Homme,Étudiant
995,32,Femme,Agriculteur
996,38,Femme,Artisan
997,74,Homme,Commerçant
998,28,Femme,Avocat
999,66,Homme,Enseignant
1000,73,Homme,Agriculteur
